id,last_modified,code,name,description,poi_type,lat,lon,address_complete,related_url,contact_email,contact_phone
147,10/3/2023,,PASS Presidio Assist.Socio Sanitaria,Ospedale,"amenity-hospital,pharmacy",42.62662,13.29515,SR 577 15 Amatrice 02012 Rieti ,,,+39 3385770435
148,10/3/2023,,Ristorante Ma Tru ,Ristorante Amatrice Piazza del gusto,ristorante,42.62337,13.30537,Frazione San Cipriano 17 Amatrice 02012 Rieti ,,,+39 3333333550
149,10/3/2023,,Area food Amatrice Bar Ristorante da Patrizia,Area food Amatrice Bar Ristorante ,"bar,ristorante",42.62362,13.30464,Area food San Cipriano  Amatrice 02012 Rieti ,,,+39 3463051912
150,10/3/2023,,"Hotel Bar ""Da Giovannino""",Hotel Bar,"hotel,bar",42.62352,13.30211,Frazione San Cipriano 10 Amatrice 02012 Rieti ,https://www.albergoristorantedagiovanninoamatrice.com/,,+39 0746825354
151,10/3/2023,,Ristorante La Campagnola Albergo Fontana,Ristorante Albergo,hotel,42.62635,13.29737,Villa San Cipriano 18 Amatrice 02012 Rieti ,,,+39 0746825378
152,10/3/2023,,Agriturismo Amatrice di Benni,Agriturismo Hotel 3 stelle,b-and-b,42.62065,13.30917,Frazione San Cipriano 158 Amatrice 02012 Rieti ,http://www.agriturismoamatrice.com/,,+39 0746825193
153,10/3/2023,,Ristorante Bar Bungalow Lo Scoiattolo,Ristorante Bar Bungalow Pesca sportiva,"ristorante,camping,bar",42.62069,13.29068,Via Ponte a tre Occhi 1 Amatrice 02012 Rieti ,http://www.villaggioloscoiattolo.it/content.asp?lingua=ita&content=villaggio,,+39 0746825086
154,10/3/2023,,Campo Amatrice 1,Alloggio,locanda,42.62497,13.29289,SR 260 35 Amatrice 02012 Rieti ,,,
155,10/3/2023,,Ristorante La Laga,Ristorante La Laga,ristorante,42.62548,13.29276,"Strada regionale 260, via Picente  Amatrice 02012 Rieti ",,,+39 3280931047
156,10/3/2023,,Ristorante Al Corso,Ristorante Al Corso,ristorante,42.62649,13.29672,Centro Commerciale Il Corso  Amatrice 02012 Rieti ,,,+39 3392763936
157,10/3/2023,,Eremo S. Croce,Eremo,religion,42.63062,13.28167,  Amatrice 02012 Rieti ,,,
158,10/3/2023,,Colli,Borgo dei Monti della Laga,paese,42.62916,13.27334,  Amatrice 02012 Rieti ,,,
159,10/3/2023,,San Benedetto,Borgo dei Monti della Laga,paese,42.62705,13.26462,  Amatrice 02012 Rieti ,,,
160,10/3/2023,,Ponte cinque occhi,Ponte sul lago Scandarello,"viewpoint,highway-bridge",42.62313,13.25005,  Amatrice 02012 Rieti ,,,
161,10/3/2023,,Casale Nibbi,"Caseificio, Azienda agricola",shop-farm,42.62576,13.24428,  Amatrice 02012 Rieti ,,,
162,10/3/2023,,Collegentilesco,Borgo dei Monti della Laga,paese,42.62532,13.22409,  Amatrice 02012 Rieti ,,,
163,10/3/2023,,Torrita,Borgo dei Monti della Laga,paese,42.62000,13.21995,  Amatrice 02012 Rieti ,,,
164,10/3/2023,,Bar Torrita,Bar,bar,42.61860,13.22100,  Amatrice 02012 Rieti ,,,
165,10/3/2023,,Agriturismo Fattoria Santarelli,Agriturismo B&B,b-and-b,42.61731,13.21906,  Amatrice 02012 Rieti ,,,
166,10/3/2023,,Ristorante Pizzeria La Valle,Ristorante Pizzeria,ristorante,42.61834,13.22096,  Amatrice 02012 Rieti ,,,+39 0746818149
167,10/3/2023,,Casali di Sopra,Borgo,paese,42.60691,13.18705,  Amatrice 02012 Rieti ,,,
