id,last_modified,code,name,address_complete,contact_phone,contact_email,related_url,capacity,description,poi_type,lat,lon
70,01/09/2022,,Da Gloria di Faustini Isabella,"Via Giacomo Zanini, 70, 25010 Tremosine BS",,,,,shop-kiosk,shop-kiosk,45.796062819674646,10.744505970109007
71,01/09/2022,,Tabaccheria shop-kiosk Ferrero,"Via Roma, 18, 25080 Gardola BS",,,,,"Alimentari,shop-kiosk,Tabaccheria","shop-convenience,shop-kiosk,shop-tobacco",45.81037612531499,10.705072757797659
72,01/09/2022,,GALVAGNI MONICA & C. SNC,via Ocla 20,,,,,Alimentari,shop-convenience,45.8187481243653,10.523258272787704
73,01/09/2022,,MACELLERIA MORA SNC DI BAZZANI L. E ROMIGLIO D.,"via Caduti, 72",,,,,Macelleria ,shop-butcher ,45.82126229480373,10.526976682589398
74,01/09/2022,,Alimentari Da Nello - Bagoss,"Via S. Giorgio, 94, 25072 Bagolino BS",,,,,Alimentari,shop-convenience,45.82170379806462,10.464910695896263
75,01/09/2022,,Scalvini Andreino,"Via S. Giorgio, 41, 25072 Bagolino BS",,,,,Alimentari,shop-convenience,45.821945145435855,10.464837649501137
76,01/09/2022,,Macelleria Zanelli Marco,"Via S. Giorgio, Bagolino, BS 25072",,,,,Macelleria,shop-butcher,45.82219690643016,10.463760013270967
77,01/09/2022,,Degiacomi Evelina,"Via S. Giorgio, 79, 25072 Bagolino BS",,,,,"Bar,Pasticceria,Tabacchi","amenity-bar,shop-pastry,shop-tobacco",45.82224889100811,10.4640310133853
78,01/09/2022,,Salumeria Bagossa ,"Via San Giorgio, 55 - ",,,,,Alimentari,shop-convenience,45.822308107412745,10.463630293448794
79,01/09/2022,,Antica Salumeria Drogheria Schivalocchi,"Via S. Giorgio, 24, 25072 Bagolino BS",,,,,Alimentari,shop-convenience,45.82306143306971,10.463300382844752
80,01/09/2022,,Macelleria Mora Adriano,"Via S. Giorgio, 5, 25072 Bagolino BS",,,,,Macelleria,shop-butcher,45.8231393358855,10.463569591387152
81,01/09/2022,,TAaffi Enrico,P.za Marconi 14,,,,,Alimentari,shop-convenience,45.823263809031715,10.463418149346191
82,01/09/2022,,Cosi Michele - Antico Forno,Via S.Rocco 28 - 25072 Bagolino BS,,,,,Forneria,shop-bakery,45.823914868180445,10.462572003469361
83,01/09/2022,,Carè Claudia - Gran Posteria pane e un pó di tutto,"P.zza Marconi , 8",,,,,Alimentari,shop-convenience,45.82398825894063,10.462523913271049
84,01/09/2022,,La Bottega del Pane,"P.zza Marconi, 11",,,,,Forneria,shop-bakery,45.82399927132549,10.462208590812835
85,01/09/2022,,Alimentari Stagnoli Jessica,"Via S. Rocco, 1, 25072 Bagolino BS",,,,,Alimentari,shop-convenience,45.82428062365484,10.461030983456427
86,01/09/2022,,shop-kiosk Carta Canta di Bertini Andrea,"Via Lungo Lago Vittoria, 6, 25074 Idro BS",,,,,shop-kiosk,shop-kiosk,45.831721831064854,10.450744767828883
87,01/09/2022,,Scavoni Paolo,"Via Valle Dorizzo, 4/c, 25072 Valle Dorizzo BS",,,,,"Alimentari,Affitta Camere","shop-convenience,tourism-guest_house",45.88242660909299,10.451452382320639
