id,last_modified,code,poi_type,name,lat,lon
7782733286,16/11/2022,7782733286,fountain,Punto acqua,"43,7768504","11,8389348"
4328283743,16/11/2022,4328283743,fountain,Fontana,"43,7804918","11,816835"
2855598261,16/11/2022,2855598261,fountain,Fontana dei Billi,"43,815766","12,2787464"
1980033814,16/11/2022,1980033814,fountain,Fontana del Campari,"43,6953253","11,9385466"
5034683490,16/11/2022,5034683490,fountain,Fontana del Prete,"43,794293","11,8775693"
3771908496,16/11/2022,3771908496,fountain,Fontana Memoriale Pantani,"44,045543","12,2135569"
1609326992,16/11/2022,1609326992,fountain,Fontana Piandispino,"44,056157","12,0884423"
5019405497,16/11/2022,5019405497,fountain,Fontana San Carlo,"44,0885584","12,192146"
1305740653,16/11/2022,1305740653,fountain,Fontanile di Frassineta,"43,7652917","11,9026654"
9530713329,16/11/2022,9530713329,fountain,"Fonte ""Le Fontanelle""","43,8093678","12,3160706"
1929061087,16/11/2022,1929061087,fountain,Fonte Bona,"43,79383","11,8200236"
4410405973,16/11/2022,4410405973,fountain,Fonte dei Cerri,"43,8829822","11,8451894"
658058366,16/11/2022,658058366,fountain,Fonte del Cinghiale,"43,8910864","11,892598"
9742210214,16/11/2022,9742210214,fountain,Fonte del Cippo,"43,7952039","12,3384044"
2442836819,16/11/2022,2442836819,fountain,Fonte del Coppo,"43,7973697","12,3390694"
1401704624,16/11/2022,1401704624,fountain,Fonte del Pellegrino,"43,8117258","12,3311866"
5592902071,16/11/2022,5592902071,fountain,Fonte del Pellegrino,"43,7901677","11,8815093"
1401704628,16/11/2022,1401704628,fountain,Fonte del Ranc,"43,8213077","12,3392886"
641295914,16/11/2022,641295914,fountain,Fonte del Re,"43,8070245","11,9084061"
7776434670,16/11/2022,7776434670,fountain,Fonte del Rifugio,"43,7958967","12,3379388"
5554574041,16/11/2022,5554574041,fountain,Fonte del Vigoroso,"43,8012836","11,8200418"
9674339587,16/11/2022,9674339587,fountain,Fonte Dell’Agrifoglio,"43,800738","12,0724506"
9621560541,16/11/2022,9621560541,fountain,Fonte della Pineta,"43,7935136","12,3323219"
1401704627,16/11/2022,1401704627,fountain,Fonte delle Arpine,"43,8209121","12,347409"
2406314208,16/11/2022,2406314208,fountain,Fonte delle Cavalle,"43,8237473","11,8820719"
2496183936,16/11/2022,2496183936,fountain,Fonte di Francesco,"43,8302352","11,8374453"
1379046393,16/11/2022,1379046393,fountain,Fonte di Giovanni,"43,8726023","11,881256"
3785840800,16/11/2022,3785840800,fountain,Fonte di Guido,"43,8115427","11,8506048"
7814069043,16/11/2022,7814069043,fountain,Fonte di Guido,"43,8689616","11,88618"
5554576269,16/11/2022,5554576269,fountain,Fonte di Maurizio,"43,8045764","11,821171"
9015548839,16/11/2022,9015548839,fountain,Fonte di Piazza della Fonte,"43,6984945","11,898822"
5642011039,16/11/2022,5642011039,fountain,Fonte di Sant'Alberico,"43,7933622","12,099595"
3785019516,16/11/2022,3785019516,fountain,Fonte Don Vittorio,"44,05084","11,8557194"
3785828353,16/11/2022,3785828353,fountain,Fonte Duchessa,"43,8022589","11,8304941"
9621376099,16/11/2022,9621376099,fountain,Fonte San Pietro,"43,7810964","12,3267692"
9627165182,16/11/2022,9627165182,fountain,Fonte Saptille,"43,8214141","12,330981"
1605088712,16/11/2022,1605088712,fountain,Fonte Solfurea Chiardovo,"43,8300634","11,9490564"
566129421,16/11/2022,566129421,fountain,Fontebona,"43,8101117","11,8165023"
1696090812,16/11/2022,1696090812,fountain,Lavatoio,"43,8265173","12,2999187"
4579242991,16/11/2022,4579242991,fountain,Parco giochi Frutipapalina,"44,15031","12,2607756"
256784579,16/11/2022,256784579,fountain,Punto acqua,"44,1328993","12,2457581"
312557784,16/11/2022,312557784,fountain,Punto acqua,"44,1063874","12,2505399"
390558962,16/11/2022,390558962,fountain,Punto acqua,"44,1491605","12,2281813"
394945437,16/11/2022,394945437,fountain,Punto acqua,"44,1459165","12,1356048"
394948448,16/11/2022,394948448,fountain,Punto acqua,"44,053433","12,1784048"
394948601,16/11/2022,394948601,fountain,Punto acqua,"44,0522189","12,1761961"
