id,last_modified,name,lat,lon,poi_type
118,06/11/2023,Col de Larche o Colle della Maddalena,6.8984531,44.4216161,natural-saddle
119,06/11/2023,Col de Vars,6.7026304,44.5389509,natural-saddle
120,06/11/2023,Colle dell'Agnello,6.9795934,44.683986,natural-saddle
121,06/11/2023,Col d'Izoard,6.7349823,44.8197132,natural-saddle
122,06/11/2023,Col de l Echelle - Passo della Scala,6.6568324,45.0271661,natural-saddle
123,06/11/2023,Passo di Sant'Antonio,12.4837921,46.5572404,natural-saddle
124,06/11/2023,Passo Tre Croci,12.2030103,46.5566564,natural-saddle
125,06/11/2023,Colle del Moncenisio,6.9008601,45.2596238,natural-saddle
126,06/11/2023,Colle dell'Iseran,7.030626,45.417126,natural-saddle
127,06/11/2023,Colle del Piccolo San Bernardo,6.88389,45.6802785,natural-saddle
128,06/11/2023,Colle del Gran San Bernardo,7.1875437,45.8938773,natural-saddle
129,06/11/2023,Passo San Rocco,10.5391318,45.7490835,natural-saddle
130,06/11/2023,Passo del Vivione,10.2029,46.0379,natural-saddle
131,06/11/2023,Passo Genna Silana,9.5081081,40.1588595,natural-saddle
132,06/11/2023,Colle Fauniera,7.1214246,44.3860877,natural-saddle
133,06/11/2023,Colle di Esischie,7.1236562,44.3967596,natural-saddle
134,06/11/2023,Colle Sampeyre,7.1188902,44.5512412,natural-saddle
135,06/11/2023,Passo di San Marco,9.623031,46.0470734,natural-saddle
136,06/11/2023,Passo dello Spluga,9.33028,46.5056,natural-saddle
137,06/11/2023,Passo Agueglio (1140m),9.3210059,46.0051675,natural-saddle
138,06/11/2023,Passo Culmine San Pietro,9.4940151,45.9020566,natural-saddle
139,06/11/2023,Passo del Sempione,8.0322074,46.2505944,natural-saddle
140,06/11/2023,Passo della Furka,8.4148637,46.5724095,natural-saddle
141,06/11/2023,Passo del Lucomagno,8.8014082,46.5622633,natural-saddle
142,06/11/2023,Passo del Maloja,9.69575,46.4,natural-saddle
143,06/11/2023,Passo della Novena,8.3880556,46.4758333,natural-saddle
144,06/11/2023,"Passo della Cerventosa
",12.0565171,43.2912658,natural-saddle
145,06/11/2023,Valico del Macerone,14.2144,41.6447,natural-saddle
146,06/11/2023,"passo Correboi
",9.3466523,40.0849847,natural-saddle
147,06/11/2023,Passo della Bonette,6.8041845,44.3206931,natural-saddle
148,06/11/2023,Col de la Moutiere,6.795816,44.3152501,natural-saddle
149,06/11/2023,Colle del Monginevro,6.7302495,44.9339532,natural-saddle
150,06/11/2023,Colle delle Fenestrelle,7.0539539,45.0727918,natural-saddle
151,06/11/2023,Colle San Carlo,6.9912505,45.7424422,natural-saddle
