id,last_modified,lon,lat,name,poi_type
109,13/10/2023,10.429672,45.798045,"Passo della Spina
",dirt-roads
110,13/10/2023,11.381675,45.760983,Santuario Santa Maria del Summano,dirt-roads
111,13/10/2023,10.5999479,43.4851003,"pian del Pruno
",dirt-roads
112,13/10/2023,10.6257702,43.398137,Malconsiglio,dirt-roads
113,13/10/2023,12.9180986,42.6853279,"Forca di legno
",dirt-roads
114,13/10/2023,12.9120476,42.667683,"Colli di Campofoglio
",dirt-roads
115,13/10/2023,12.6178337,43.5106156,"Monte Petrano
",dirt-roads
116,13/10/2023,12.666843,43.4860847,"Monte Tenetra
",dirt-roads
117,13/10/2023,12.6913048,43.4751236,"Monte Catria
",dirt-roads
118,13/10/2023,12.7065827,43.4669014,"Le Scalette
",dirt-roads
119,13/10/2023,12.8330157,43.2384958,"Monte Serra Santa
",dirt-roads
120,13/10/2023,12.9167571,43.1451429,"Monte Vermenone
",dirt-roads
121,13/10/2023,12.7299499,43.027638,"Collepino-Cupacci-La valle
",dirt-roads
122,13/10/2023,12.6752797,43.0531951,"Monte Subasio
",dirt-roads
123,13/10/2023,10.8922166,43.328419,"guado sul Cecina
",dirt-roads
124,13/10/2023,11.5520229,44.2072225,"Castel del Rio- Casola Valsenio
",dirt-roads
125,13/10/2023,11.7629205,44.1235662,Tredozio-Modigliana,dirt-roads
126,13/10/2023,10.9706364,43.0985246,Niccioleta-Fontalcinando,dirt-roads
127,13/10/2023,11.5247951,42.8191889,"Monte Labro
",dirt-roads
128,13/10/2023,14.5530541,37.515859,"Portella Moneta
",dirt-roads
129,13/10/2023,10.6288183,43.1894707,Grattamacco,dirt-roads
130,13/10/2023,10.6994375,43.4769495,"guado semplice
",dirt-roads
131,13/10/2023,11.187068,45.116897,Sterrato su Ex Ferrovia Treviso-Ostiglia,dirt-roads
132,13/10/2023,9.2686304,39.3780769,"Valico di Gen'e Funtana
",dirt-roads
133,13/10/2023,9.5122086,39.4230261,"Arcu Is Tellas
",dirt-roads
134,13/10/2023,9.4850666,39.4031934,"Arcu 'e Mauru
",dirt-roads
